Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes
Squad,# Pl,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
vs Alavés,29,38.0,18138,15935,2139,672,52,139,722,913,177,62,61,1,14251,64,340
vs Athletic Club,31,38.0,18891,16899,1908,528,52,139,592,796,155,54,61,1,14953,84,323
vs Atlético Madrid,24,38.0,19538,17845,1656,460,33,124,656,664,144,41,56,0,16246,37,304
vs Barcelona,28,38.0,11890,10010,1699,417,62,135,482,636,149,62,57,1,8511,181,317
vs Betis,36,38.0,17627,15754,1781,466,51,107,683,756,162,73,62,3,13910,92,339
vs Celta Vigo,30,38.0,18445,16682,1688,504,57,102,667,680,159,69,53,1,14946,75,323
vs Espanyol,27,38.0,21580,19688,1839,529,49,143,858,759,227,97,95,5,17987,53,350
vs Getafe,30,38.0,18284,16088,2111,659,52,111,626,910,147,66,45,1,13966,85,364
vs Girona,30,38.0,16818,15144,1630,488,40,84,607,626,166,61,62,2,13798,44,260
vs Las Palmas,34,38.0,17854,15927,1828,472,69,118,740,812,198,86,63,3,14104,99,350
vs Leganés,26,38.0,20203,18149,2007,568,52,128,879,865,242,101,101,2,16312,47,335
vs Mallorca,28,38.0,18666,16782,1843,526,43,136,821,723,241,113,55,3,14980,41,306
vs Osasuna,25,38.0,18864,16877,1884,540,89,123,704,784,189,72,78,1,15229,103,324
vs Rayo Vallecano,26,38.0,16724,14603,2071,579,55,139,678,882,191,81,80,1,12793,50,379
vs Real Madrid,30,38.0,15895,14331,1521,397,40,120,554,533,161,78,49,0,12981,43,293
vs Real Sociedad,31,38.0,16415,14418,1912,550,54,115,610,808,179,69,58,3,12635,85,345
vs Sevilla,35,38.0,17994,16003,1929,541,62,132,661,828,165,66,63,1,14301,62,329
vs Valencia,32,38.0,18992,17048,1837,485,78,139,691,801,190,79,57,2,15307,107,328
vs Valladolid,38,38.0,20501,18714,1727,489,62,99,743,751,195,76,80,0,17117,60,353
vs Villarreal,31,38.0,19916,18105,1769,495,40,191,782,655,180,70,59,0,16617,42,377
