Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 17_level_0,Unnamed: 18_level_0,Expected,Expected,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0
Squad,# Pl,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP
vs Brest,25,34.0,11747,15176,77.4,210238,85258,4962,5928,83.7,5175,6171,83.9,1193,2207,54.1,24,27.2,28.3,-3.2,259,952,242,56,1329
vs Clermont Foot,31,34.0,14270,17611,81.0,258504,92073,5888,6872,85.7,6384,7285,87.6,1545,2589,59.7,38,44.2,45.3,-6.2,407,1229,359,102,1577
vs Le Havre,27,34.0,15710,19043,82.5,281979,92880,6432,7367,87.3,7281,8237,88.4,1523,2525,60.3,33,35.6,37.0,-2.6,345,1168,285,75,1527
vs Lens,27,34.0,12996,16265,79.9,230907,81416,5497,6319,87.0,5757,6642,86.7,1293,2444,52.9,24,30.6,28.8,-6.6,285,858,220,54,1146
vs Lille,28,34.0,11698,14728,79.4,220102,74607,4447,5189,85.7,5515,6359,86.7,1396,2445,57.1,22,25.7,26.2,-3.7,235,781,194,53,1110
vs Lorient,38,34.0,15949,19173,83.2,282989,90649,6718,7549,89.0,7192,8084,89.0,1530,2621,58.4,48,39.2,39.5,8.8,404,1468,339,87,1647
vs Lyon,35,34.0,13756,16844,81.7,238546,83356,6165,6985,88.3,5891,6769,87.0,1228,2275,54.0,38,37.8,34.3,0.2,343,1220,260,68,1391
vs Marseille,33,34.0,12519,15560,80.5,225458,80616,5291,6101,86.7,5484,6330,86.6,1341,2333,57.5,27,26.5,25.4,0.5,282,872,232,52,1228
vs Metz,30,34.0,18493,21875,84.5,316259,106330,8298,9275,89.5,8106,9107,89.0,1507,2466,61.1,38,37.0,44.0,1.0,391,1670,354,85,1944
vs Monaco,30,34.0,12256,15731,77.9,219586,83339,5256,6125,85.8,5226,6178,84.6,1338,2506,53.4,26,30.4,29.0,-4.4,285,982,240,49,1311
vs Montpellier,31,34.0,14871,18181,81.8,259126,95576,6561,7493,87.6,6376,7305,87.3,1411,2419,58.3,32,36.7,39.5,-4.7,411,1305,320,67,1714
vs Nantes,35,34.0,15934,19173,83.1,286402,95949,6598,7448,88.6,7252,8238,88.0,1604,2638,60.8,36,35.9,37.3,0.1,312,1265,275,71,1613
vs Nice,27,34.0,13633,16675,81.8,242182,80212,5742,6444,89.1,6207,6987,88.8,1265,2411,52.5,17,22.0,25.3,-5.0,264,1052,231,61,1154
vs Paris S-G,29,34.0,10100,12950,78.0,180036,70469,4466,5177,86.3,4077,4861,83.9,1163,2154,54.0,23,28.9,27.2,-5.9,310,802,212,51,1054
vs Reims,29,34.0,12888,16208,79.5,239467,87909,5112,5997,85.2,5826,6753,86.3,1530,2604,58.8,30,32.0,34.5,-2.0,317,1079,273,86,1410
vs Rennes,29,34.0,13026,16224,80.3,232921,80668,5614,6457,86.9,5648,6499,86.9,1330,2430,54.7,22,29.1,30.2,-7.1,277,1030,259,70,1246
vs Strasbourg,30,34.0,15611,18849,82.8,279831,95574,6387,7264,87.9,7210,8105,89.0,1511,2481,60.9,32,33.3,31.7,-1.3,303,1108,272,73,1536
vs Toulouse,26,34.0,14170,17445,81.2,251494,86630,5878,6739,87.2,6548,7468,87.7,1302,2395,54.4,24,33.4,32.1,-9.4,333,1087,264,56,1343
